issue_id	assertion_id	evidence
#9	settings-child-back	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#settingsChildBackReturnsToSettingsRoot_beforeReturningToCaller
#10	drawer-closes-before-navigation	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerSettingsClosesDrawerBeforeShowingSettings
#11	cross-profile-data-identity	shared/src/commonTest/kotlin/compat/CompatibilityDataSharingTest.kt#historyRoundTripsUsingTheCanonicalThreadIdentity
#12	cached-thumbnail-recovery	shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt#cachedAbsolutePngLink_isRecoveredIntoViewerMedia
#13	stable-toolbar-icons	PRIVATE_DEVICE_EVIDENCE#ISSUE-13
#14	stable-drawer-toast-width	PRIVATE_DEVICE_EVIDENCE#ISSUE-14
#15	configurable-toast-duration	shared/src/commonTest/kotlin/compat/CompatThreadUpdatePresentationTest.kt#closeToastDurationUsesConfiguredValueAndBoundsMalformedInput
#16	catalog-refresh-setting-keys	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#missingCatalogAndThreadRowsAreReachableAndPersistStableApkKeys
#17	catalog-fetch-row-count	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogThreadSizeChangeForcesARequestWithTheNewLegacySettings
#18	gesture-capture-threshold	shared/src/commonTest/kotlin/compat/CompatibilityTabSelectorMotionTest.kt#pagerRequiresARealHorizontalLeadBeforeCapturingTheGesture
#19	adjacent-tab-full-content	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPagerSwipeSelectsAdjacentTabAndRestoresEachTabScrollState
#20	catalog-scroll-restore	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogScrollPositionSurvivesOpeningAndClosingThread
#21	close-toast-text-layout	PRIVATE_DEVICE_EVIDENCE#ISSUE-21
#22	toolbar-config-immediate	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
#23	apu-small-setting	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#apuSmallThumbnailDisabledKeepsBodyUrlsWithoutAddingPreviewRows
#24	drawer-wins-left-edge	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#leftEdgeSwipeOpensDrawerInsteadOfSelectingPreviousTab
#25	short-drawer-travel	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogLeftEdgeSwipeOpensDrawerAfterShortTravel
#26	one-pixel-pull-hint	shared/src/commonTest/kotlin/compat/CompatCatalogScrollTest.kt#pullHintAndContentMoveGraduallyInsteadOfJumpingOnFirstPixel
#27	refresh-resets-catalog-position	shared/src/commonTest/kotlin/compat/CompatCatalogScrollTest.kt#completedCatalogRefreshResetsTheScrollPosition
#28	popup-theme-contrast	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#popupColorsFollowBlackThemeWithoutChangingLegacyLightPopup
#29	cold-thread-does-not-crash	shared/src/commonTest/kotlin/ui/compat/CompatThreadFetchTest.kt#coldOrEmptySnapshotAlwaysFetchesWithoutManualRefresh
#30	no-duplicate-open-tab	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#reopeningCatalogThreadDoesNotDuplicateItsReplyCount
#31	diagonal-drag-not-refresh	shared/src/commonTest/kotlin/compat/CompatibilityTabSelectorMotionTest.kt#pullRefreshOnlyAcceptsClearlyVerticalGestures
#32	large-thread-complete-parse	shared/src/commonTest/kotlin/parser/ThreadHtmlParserCoreTest.kt#parseThread_keepsAllMediaAcrossOneThousandReplies
#33	consecutive-close-during-toast	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#closeToolbarRemainsUsableForConsecutiveTabsWhileUndoToastIsVisible
#34	title-length-domain	shared/src/commonTest/kotlin/compat/CompatPreferenceSchemaTest.kt#exactDiscreteDomainsMatchApk
#35	bottom-menu-toolbar-insets	PRIVATE_DEVICE_EVIDENCE#ISSUE-35
#36	drawer-preview-does-not-back	app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt#threadLeftEdgeSwipe_opensHistoryDrawerWithoutNavigatingBack
#37	special-board-drawer-data	shared/src/commonTest/kotlin/compat/CompatibilityDataSharingTest.kt#mergeKeepsModernBoardsAndAddsCompatibilityOnlyBoards
#38	continuous-drawer-scrim	shared/src/commonTest/kotlin/compat/CompatibilityTabSelectorMotionTest.kt#drawerScrimHasTheSameAlphaDuringPreviewAndAfterSettling
#39	settings-scroll-restore	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#settingsRootScrollPositionSurvivesReturningFromChildPage
#40	popup-window-clamp	shared/src/commonTest/kotlin/ui/compat/CompatReplyPopupPositionTest.kt#popupClampsToToolbarButUsesTappedResponseAsTheBottomAnchor
#41	drawer-last-page	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerRemembersLastSelectedPageAfterCloseAndReopen
#42	drawer-left-swipe	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerLeftSwipeClosesDrawerWithoutDeletingHistory
#43	settings-owns-left-edge	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#drawerSettingsClosesDrawerBeforeShowingSettings
#44	profile-switch-session-boundary	shared/src/commonTest/kotlin/compat/ExperienceProfileSessionTest.kt#sessionResultRequiresSameActiveProfileAndGeneration
#45	pull-refresh-cancel	shared/src/commonTest/kotlin/compat/CompatCatalogScrollTest.kt#pullDragReversalCancelsBeforeRelease
#46	manual-refresh-message	shared/src/commonTest/kotlin/compat/CompatThreadUpdatePresentationTest.kt#manualRefreshReportsNewRepliesAndNoNewRepliesButRejectsInvalidReplacement
#47	thread-settings-theme-inheritance	iosApp/iosAppUITests/IosAppUITests.swift#testLightClassicThemeReachesSettingsFromThread
#48	thread-display-options-route	iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiCompatibilityProfileReachesForeground
#49	viewer-prev-next	app-android/src/androidTest/java/com/valoser/futacha/CompatViewerGestureInstrumentedTest.kt#viewerSwipeMovesToNextAndPreviousImage
#50	gallery-video-badge	shared/src/commonTest/kotlin/ui/board/ThreadAttachmentGallerySupportTest.kt#buildThreadAttachmentGalleryItems_assigns_expected_badges
#51	gallery-fit-crop-setting	shared/src/commonTest/kotlin/state/AppStateSettingsSupportTest.kt#decodeThreadGalleryThumbnailModeValue_defaultsToCropSquare
#52	watch-word-visual-source	shared/src/commonTest/kotlin/service/CatalogWatchAlertRefresherTest.kt#refresh_returnsWatchWordMatchesWithoutAddingThemToHistory
#53	startup-theme-first-frame	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#compatibilityStartupWaitsForPreferencesBeforePaintingSelectedPalette
#54	legacy-restore-watch-isolation	shared/src/commonTest/kotlin/compat/CompatibilitySettingsBackupTest.kt#filteringAnOldCombinedFileCannotLeakGeneralSettingsIntoWordRestore
#55	return-to-source-catalog	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#catalogBackReturnsToLaunchingBoardAfterSelectingAnotherBoardsTab
#56	new-reply-notice-state	shared/src/commonTest/kotlin/compat/CompatThreadUpdatePresentationTest.kt#detectsAppendedRepliesAndMarksTheFirstNewPosition
#57	no-new-replies-notice	shared/src/commonTest/kotlin/compat/CompatThreadUpdatePresentationTest.kt#manualRefreshReportsNewRepliesAndNoNewRepliesButRejectsInvalidReplacement
#58	pager-does-not-move-selector	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPagerSwipeSelectsAdjacentTabAndRestoresEachTabScrollState
#59	tab-long-press-preview-position	shared/src/commonTest/kotlin/compat/CompatibilityTabSelectorMotionTest.kt#dragPreviewUsesRootCoordinatesAndStaysInsideTheWindow
#60	selector-horizontal-scroll	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#selectorHorizontalSwipeScrollsOverflowWithoutClosingTabs
#61	update-check-setting	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#compatibilityUpdateCheckSettingPersistsSharedStartupGate
#62	closing-last-thread-catalog	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#closingLastCatalogThreadReturnsToLaunchingCatalog
#63	catalog-count-no-duplication	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#reopeningCatalogThreadDoesNotDuplicateItsReplyCount
#64	catalog-reply-increase	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefreshShowsReplyIncreaseFromThePreviousGeneration
#65	expiration-footer-insets	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadExpirationFooterStaysAboveTheOverlaidTabSelector
#66	new-replies-divider-width	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadTopAndBottomPullGesturesEachRunExactlyOneRefresh
#67	board-last-item-insets	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#boardListLastItemCanScrollAboveSystemNavigationBar
