build	project	configuration	components	external_artifacts	unresolved
main	:app-android	debugCompileClasspath	201	148	0
main	:app-android	debugAndroidTestCompileClasspath	271	191	0
main	:app-android	debugUnitTestCompileClasspath	205	151	0
main	:app-android	releaseCompileClasspath	196	145	0
main	:app-android	benchmarkReleaseCompileClasspath	196	145	0
main	:app-android	benchmarkReleaseRuntimeClasspath	332	239	0
main	:app-android	debugAndroidTestRuntimeClasspath	199	126	0
main	:app-android	debugRuntimeClasspath	337	242	0
main	:app-android	debugUnitTestRuntimeClasspath	341	245	0
main	:app-android	nonMinifiedReleaseCompileClasspath	196	145	0
main	:app-android	nonMinifiedReleaseRuntimeClasspath	332	239	0
main	:app-android	releaseRuntimeClasspath	332	239	0
main	:app-wear	debugCompileClasspath	105	73	0
main	:app-wear	releaseCompileClasspath	101	70	0
main	:app-wear	debugAndroidTestCompileClasspath	103	73	0
main	:app-wear	debugAndroidTestRuntimeClasspath	1	0	0
main	:app-wear	debugRuntimeClasspath	327	236	0
main	:app-wear	debugUnitTestCompileClasspath	105	73	0
main	:app-wear	debugUnitTestRuntimeClasspath	327	236	0
main	:app-wear	releaseRuntimeClasspath	318	227	0
main	:baselineprofile	nonMinifiedReleaseCompileClasspath	31	24	0
main	:baselineprofile	benchmarkReleaseCompileClasspath	31	24	0
main	:baselineprofile	benchmarkReleaseRuntimeClasspath	52	44	0
main	:baselineprofile	nonMinifiedReleaseRuntimeClasspath	52	44	0
main	:shared	androidCompileClasspath	267	182	0
main	:shared	androidHostTestCompileClasspath	273	187	0
main	:shared	jvmCompileClasspath	127	63	0
main	:shared	jvmTestCompileClasspath	133	68	0
main	:shared	commonMainResolvableDependenciesMetadata	77	75	0
main	:shared	commonTestResolvableDependenciesMetadata	79	77	0
main	:shared	iosArm64CompileKlibraries	145	75	0
main	:shared	iosSimulatorArm64TestCompileKlibraries	148	76	0
main	:shared	androidHostTestRuntimeClasspath	307	219	0
main	:shared	androidRuntimeClasspath	309	218	0
main	:shared	composeHotReloadDevJvmDevRuntimeClasspath	163	83	0
main	:shared	composeHotReloadDevJvmRuntimeClasspath	153	78	0
main	:shared	composeHotReloadDevJvmTestRuntimeClasspath	159	83	0
main	:shared	jvmDevCompileClasspath	138	68	0
main	:shared	jvmDevRuntimeClasspath	159	79	0
main	:shared	jvmMainCompileClasspath	127	63	0
main	:shared	jvmMainRuntimeClasspath	148	73	0
main	:shared	jvmRuntimeClasspath	147	73	0
main	:shared	jvmTestRuntimeClasspath	153	78	0
main	:shared	metadataAppleMainCompileClasspath	77	75	0
main	:shared	metadataCommonMainCompileClasspath	77	75	0
main	:shared	metadataCompileClasspath	77	75	0
main	:shared	metadataIosMainCompileClasspath	80	78	0
main	:shared	metadataNativeMainCompileClasspath	77	75	0
buildSrc	:	compileClasspath	11	9	0
buildSrc	:	runtimeClasspath	30	28	0
