file	line	kind	alias	coordinate_or_plugin	version_ref	declared_version	declaration
build.gradle.kts	3	plugins	android-application	com.android.application	agp	"""9.4.0"""	alias(libs.plugins.android.application) apply false
build.gradle.kts	4	plugins	android-library	com.android.library	agp	"""9.4.0"""	alias(libs.plugins.android.library) apply false
build.gradle.kts	5	plugins	android-test	com.android.test	agp	"""9.4.0"""	alias(libs.plugins.android.test) apply false
build.gradle.kts	6	plugins	android-kotlin-multiplatform-library	com.android.kotlin.multiplatform.library	agp	"""9.4.0"""	alias(libs.plugins.android.kotlin.multiplatform.library) apply false
build.gradle.kts	7	plugins	androidx-baselineprofile	androidx.baselineprofile	baselineProfilePlugin	"""1.5.0-rc02"""	alias(libs.plugins.androidx.baselineprofile) apply false
build.gradle.kts	8	plugins	kotlin-multiplatform	org.jetbrains.kotlin.multiplatform	kotlin	"""2.4.10"""	alias(libs.plugins.kotlin.multiplatform) apply false
build.gradle.kts	9	plugins	kotlin-compose	org.jetbrains.kotlin.plugin.compose	kotlin	"""2.4.10"""	alias(libs.plugins.kotlin.compose) apply false
build.gradle.kts	10	plugins	compose-multiplatform	org.jetbrains.compose	composeMultiplatform	"""1.12.0"""	alias(libs.plugins.compose.multiplatform) apply false
build.gradle.kts	11	plugins	kotlin-serialization	org.jetbrains.kotlin.plugin.serialization	kotlin	"""2.4.10"""	alias(libs.plugins.kotlin.serialization) apply false
build.gradle.kts	12	plugins	google-services	com.google.gms.google-services	gms	"""4.5.0"""	alias(libs.plugins.google.services) apply false
build.gradle.kts	13	plugins	firebase-crashlytics	com.google.firebase.crashlytics	firebaseCrashlyticsGradle	"""3.0.8"""	alias(libs.plugins.firebase.crashlytics) apply false
shared/build.gradle.kts	4	plugins	kotlin-multiplatform	org.jetbrains.kotlin.multiplatform	kotlin	"""2.4.10"""	alias(libs.plugins.kotlin.multiplatform)
shared/build.gradle.kts	5	plugins	android-kotlin-multiplatform-library	com.android.kotlin.multiplatform.library	agp	"""9.4.0"""	alias(libs.plugins.android.kotlin.multiplatform.library)
shared/build.gradle.kts	6	plugins	kotlin-serialization	org.jetbrains.kotlin.plugin.serialization	kotlin	"""2.4.10"""	alias(libs.plugins.kotlin.serialization)
shared/build.gradle.kts	7	plugins	kotlin-compose	org.jetbrains.kotlin.plugin.compose	kotlin	"""2.4.10"""	alias(libs.plugins.kotlin.compose)
shared/build.gradle.kts	8	plugins	compose-multiplatform	org.jetbrains.compose	composeMultiplatform	"""1.12.0"""	alias(libs.plugins.compose.multiplatform)
shared/build.gradle.kts	9	plugin-id	-	org.jetbrains.kotlin.native.cocoapods	kotlin (classpath inherited)	2.4.10	"id(""org.jetbrains.kotlin.native.cocoapods"")"
shared/build.gradle.kts	67	libraries	jetbrains-compose-runtime	org.jetbrains.compose.runtime:runtime	composeMultiplatform	"""1.12.0"""	implementation(libs.jetbrains.compose.runtime)
shared/build.gradle.kts	68	libraries	jetbrains-compose-foundation	org.jetbrains.compose.foundation:foundation	composeMultiplatform	"""1.12.0"""	implementation(libs.jetbrains.compose.foundation)
shared/build.gradle.kts	69	libraries	jetbrains-compose-material3	org.jetbrains.compose.material3:material3	composeMultiplatformMaterial3	"""1.9.0"""	implementation(libs.jetbrains.compose.material3)
shared/build.gradle.kts	70	libraries	jetbrains-compose-material-icons	org.jetbrains.compose.material:material-icons-extended	material-icons-extended	"""1.7.3"""	implementation(libs.jetbrains.compose.material.icons)
shared/build.gradle.kts	71	libraries	jetbrains-compose-components-resources	org.jetbrains.compose.components:components-resources	composeMultiplatform	"""1.12.0"""	implementation(libs.jetbrains.compose.components.resources)
shared/build.gradle.kts	72	libraries	jetbrains-compose-components-ui-tooling-preview	org.jetbrains.compose.components:components-ui-tooling-preview	composeMultiplatform	"""1.12.0"""	implementation(libs.jetbrains.compose.components.ui.tooling.preview)
shared/build.gradle.kts	73	libraries	kotlinx-serialization-json	org.jetbrains.kotlinx:kotlinx-serialization-json	kotlinxSerializationJson	"""1.11.0"""	implementation(libs.kotlinx.serialization.json)
shared/build.gradle.kts	74	libraries	kotlinx-coroutines-core	org.jetbrains.kotlinx:kotlinx-coroutines-core	kotlinxCoroutines	"""1.11.0"""	implementation(libs.kotlinx.coroutines.core)
shared/build.gradle.kts	75	libraries	kotlinx-datetime	org.jetbrains.kotlinx:kotlinx-datetime	kotlinxDatetime	"""0.8.0"""	implementation(libs.kotlinx.datetime)
shared/build.gradle.kts	76	libraries	coil3-compose	io.coil-kt.coil3:coil-compose	coil3	"""3.6.2"""	implementation(libs.coil3.compose)
shared/build.gradle.kts	77	libraries	coil3-network-ktor	io.coil-kt.coil3:coil-network-ktor3	coil3	"""3.6.2"""	implementation(libs.coil3.network.ktor)
shared/build.gradle.kts	78	libraries	ktor-client-core	io.ktor:ktor-client-core	ktor	"""3.5.2"""	implementation(libs.ktor.client.core)
shared/build.gradle.kts	83	helper	-	org.jetbrains.kotlin:kotlin-test	kotlin (plugin inherited)	2.4.10	"implementation(kotlin(""test""))"
shared/build.gradle.kts	84	libraries	ktor-client-mock	io.ktor:ktor-client-mock	ktor	"""3.5.2"""	implementation(libs.ktor.client.mock)
shared/build.gradle.kts	89	libraries	androidx-datastore-preferences	androidx.datastore:datastore-preferences	datastore	"""1.2.1"""	implementation(libs.androidx.datastore.preferences)
shared/build.gradle.kts	90	libraries	ktor-client-okhttp	io.ktor:ktor-client-okhttp	ktor	"""3.5.2"""	implementation(libs.ktor.client.okhttp)
shared/build.gradle.kts	91	libraries	androidx-activity-compose	androidx.activity:activity-compose	activityCompose	"""1.13.0"""	implementation(libs.androidx.activity.compose)
shared/build.gradle.kts	92	libraries	jetbrains-compose-preview	org.jetbrains.compose.ui:ui-tooling-preview	composeMultiplatform	"""1.12.0"""	implementation(libs.jetbrains.compose.preview)
shared/build.gradle.kts	93	libraries	androidx-media3-exoplayer	androidx.media3:media3-exoplayer	media3	"""1.11.0"""	implementation(libs.androidx.media3.exoplayer)
shared/build.gradle.kts	94	libraries	androidx-media3-ui	androidx.media3:media3-ui	media3	"""1.11.0"""	implementation(libs.androidx.media3.ui)
shared/build.gradle.kts	95	libraries	androidx-documentfile	androidx.documentfile:documentfile	documentfile	"""1.1.0"""	implementation(libs.androidx.documentfile)
shared/build.gradle.kts	96	libraries	coil3-video	io.coil-kt.coil3:coil-video	coil3	"""3.6.2"""	implementation(libs.coil3.video)
shared/build.gradle.kts	97	libraries	coil3-gif	io.coil-kt.coil3:coil-gif	coil3	"""3.6.2"""	implementation(libs.coil3.gif)
shared/build.gradle.kts	100	libraries	penfeizhou-animation-apng	com.github.penfeizhou.android.animation:apng	penfeizhouAnimation	"""3.0.5"""	implementation(libs.penfeizhou.animation.apng)
shared/build.gradle.kts	103	libraries	penfeizhou-animation-awebp	com.github.penfeizhou.android.animation:awebp	penfeizhouAnimation	"""3.0.5"""	implementation(libs.penfeizhou.animation.awebp)
shared/build.gradle.kts	104	libraries	firebase-bom	com.google.firebase:firebase-bom	firebase	"""34.18.0"""	implementation(project.dependencies.platform(libs.firebase.bom))
shared/build.gradle.kts	105	libraries	firebase-analytics	com.google.firebase:firebase-analytics		{}	implementation(libs.firebase.analytics)
shared/build.gradle.kts	106	libraries	firebase-performance	com.google.firebase:firebase-perf		{}	implementation(libs.firebase.performance)
shared/build.gradle.kts	107	libraries	firebase-crashlytics	com.google.firebase:firebase-crashlytics		{}	implementation(libs.firebase.crashlytics)
shared/build.gradle.kts	108	libraries	mlkit-genai-summarization	com.google.mlkit:genai-summarization	mlkitGenaiSummarization	"""1.0.0-beta1"""	implementation(libs.mlkit.genai.summarization)
shared/build.gradle.kts	109	libraries	mlkit-genai-prompt	com.google.mlkit:genai-prompt	mlkitGenaiPrompt	"""1.0.0-beta4"""	implementation(libs.mlkit.genai.prompt)
shared/build.gradle.kts	110	libraries	google-play-billing	com.android.billingclient:billing	playBilling	"""9.1.0"""	implementation(libs.google.play.billing)
shared/build.gradle.kts	116	libraries	ktor-client-darwin	io.ktor:ktor-client-darwin	ktor	"""3.5.2"""	implementation(libs.ktor.client.darwin)
shared/build.gradle.kts	122	libraries	ktor-client-okhttp	io.ktor:ktor-client-okhttp	ktor	"""3.5.2"""	implementation(libs.ktor.client.okhttp)
shared/build.gradle.kts	129	libraries	jetbrains-compose-ui-tooling	org.jetbrains.compose.ui:ui-tooling	composeMultiplatform	"""1.12.0"""	"add(""androidRuntimeClasspath"", libs.jetbrains.compose.ui.tooling)"
app-android/build.gradle.kts	40	plugins	android-application	com.android.application	agp	"""9.4.0"""	alias(libs.plugins.android.application)
app-android/build.gradle.kts	41	plugins	androidx-baselineprofile	androidx.baselineprofile	baselineProfilePlugin	"""1.5.0-rc02"""	alias(libs.plugins.androidx.baselineprofile)
app-android/build.gradle.kts	42	plugins	kotlin-compose	org.jetbrains.kotlin.plugin.compose	kotlin	"""2.4.10"""	alias(libs.plugins.kotlin.compose)
app-android/build.gradle.kts	43	plugins	google-services	com.google.gms.google-services	gms	"""4.5.0"""	alias(libs.plugins.google.services) apply false
app-android/build.gradle.kts	44	plugins	firebase-crashlytics	com.google.firebase.crashlytics	firebaseCrashlyticsGradle	"""3.0.8"""	alias(libs.plugins.firebase.crashlytics) apply false
app-android/build.gradle.kts	205	libraries	androidx-compose-foundation-guarded	androidx.compose.foundation:foundation-android	composeFoundationGuard	"{""strictly"": ""1.12.0""}"	implementation(libs.androidx.compose.foundation.guarded) {
app-android/build.gradle.kts	213	libraries	ktor-client-core	io.ktor:ktor-client-core	ktor	"""3.5.2"""	implementation(libs.ktor.client.core)
app-android/build.gradle.kts	214	libraries	ktor-client-okhttp	io.ktor:ktor-client-okhttp	ktor	"""3.5.2"""	implementation(libs.ktor.client.okhttp)
app-android/build.gradle.kts	215	libraries	kotlinx-serialization-json	org.jetbrains.kotlinx:kotlinx-serialization-json	kotlinxSerializationJson	"""1.11.0"""	implementation(libs.kotlinx.serialization.json)
app-android/build.gradle.kts	217	libraries	androidx-core-ktx	androidx.core:core-ktx	coreKtx	"""1.19.0"""	implementation(libs.androidx.core.ktx)
app-android/build.gradle.kts	218	libraries	androidx-appcompat	androidx.appcompat:appcompat	appcompat	"""1.8.0"""	implementation(libs.androidx.appcompat)
app-android/build.gradle.kts	219	libraries	material	com.google.android.material:material	material	"""1.14.0"""	implementation(libs.material)
app-android/build.gradle.kts	220	libraries	androidx-compose-bom	androidx.compose:compose-bom	composeBom	"""2026.08.00"""	implementation(platform(libs.androidx.compose.bom))
app-android/build.gradle.kts	221	libraries	androidx-activity-compose	androidx.activity:activity-compose	activityCompose	"""1.13.0"""	implementation(libs.androidx.activity.compose)
app-android/build.gradle.kts	222	libraries	androidx-compose-ui	androidx.compose.ui:ui		{}	implementation(libs.androidx.compose.ui)
