module	resolved_version	configurations
androidx.activity:activity	1.13.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugAndroidTestCompileClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.activity:activity-compose	1.13.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugAndroidTestCompileClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.activity:activity-ktx	1.13.0	main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.annotation:annotation	1.10.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugAndroidTestCompileClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.annotation:annotation	1.8.1	main:baselineprofile:benchmarkReleaseCompileClasspath;main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseCompileClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath
androidx.annotation:annotation	1.9.1	main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:commonMainResolvableDependenciesMetadata;main:shared:commonTestResolvableDependenciesMetadata;main:shared:composeHotReloadDevJvmDevRuntimeClasspath;main:shared:composeHotReloadDevJvmRuntimeClasspath;main:shared:composeHotReloadDevJvmTestRuntimeClasspath;main:shared:iosArm64CompileKlibraries;main:shared:iosSimulatorArm64TestCompileKlibraries;main:shared:jvmCompileClasspath;main:shared:jvmDevCompileClasspath;main:shared:jvmDevRuntimeClasspath;main:shared:jvmMainCompileClasspath;main:shared:jvmMainRuntimeClasspath;main:shared:jvmRuntimeClasspath;main:shared:jvmTestCompileClasspath;main:shared:jvmTestRuntimeClasspath;main:shared:metadataAppleMainCompileClasspath;main:shared:metadataCommonMainCompileClasspath;main:shared:metadataCompileClasspath;main:shared:metadataIosMainCompileClasspath;main:shared:metadataNativeMainCompileClasspath
androidx.annotation:annotation-experimental	1.4.1	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugAndroidTestCompileClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:baselineprofile:benchmarkReleaseCompileClasspath;main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseCompileClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.annotation:annotation-iosarm64	1.9.1	main:shared:iosArm64CompileKlibraries
androidx.annotation:annotation-iossimulatorarm64	1.9.1	main:shared:iosSimulatorArm64TestCompileKlibraries
androidx.annotation:annotation-jvm	1.10.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugAndroidTestCompileClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
