alias	module_or_plugin	version_ref	version_source	usage
kotlin-test	org.jetbrains.kotlin:kotlin-test	kotlin	2.4.10	shared/build.gradle.kts:99
okhttp	com.squareup.okhttp3:okhttp	okhttp	5.3.2	shared/build.gradle.kts:110
okio	com.squareup.okio:okio	okio	3.18.1	shared/build.gradle.kts:89
kotlinx-io-core	org.jetbrains.kotlinx:kotlinx-io-core	kotlinxIo	0.9.1	shared/build.gradle.kts:100
kotlinx-serialization-core	org.jetbrains.kotlinx:kotlinx-serialization-core	kotlinxSerializationJson	1.11.0	shared/build.gradle.kts:82;app-android/build.gradle.kts:216
androidx-annotation	androidx.annotation:annotation	androidxAnnotation	1.10.0	app-android/build.gradle.kts:226
androidx-lifecycle-common	androidx.lifecycle:lifecycle-common	lifecycle	2.9.4	shared/build.gradle.kts:108;app-android/build.gradle.kts:227
androidx-lifecycle-runtime-compose	androidx.lifecycle:lifecycle-runtime-compose	lifecycle	2.9.4	shared/build.gradle.kts:109
androidx-test-core	androidx.test:core	androidxTestCore	1.7.0	app-android/build.gradle.kts:253
androidx-test-monitor	androidx.test:monitor	androidxTestMonitor	1.8.0	app-android/build.gradle.kts:254;baselineprofile/build.gradle.kts:64
play-services-tasks	com.google.android.gms:play-services-tasks	playServicesTasks	18.4.0	app-android/build.gradle.kts:241;app-wear/build.gradle.kts:115
firebase-common	com.google.firebase:firebase-common	BOM	firebase-bom	shared/build.gradle.kts:132
mlkit-common	com.google.mlkit:common	mlkitCommon	18.11.0	shared/build.gradle.kts:137
mlkit-genai-common	com.google.mlkit:genai-common	mlkitGenaiCommon	1.0.0-beta4	shared/build.gradle.kts:138
penfeizhou-animation-core	com.github.penfeizhou.android.animation:frameanimation	penfeizhouAnimation	3.0.5	shared/build.gradle.kts:129
androidx-media3-common	androidx.media3:media3-common	media3	1.11.0	shared/build.gradle.kts:116;app-android/build.gradle.kts:260
androidx-media3-database	androidx.media3:media3-database	media3	1.11.0	shared/build.gradle.kts:117
androidx-media3-datasource	androidx.media3:media3-datasource	media3	1.11.0	shared/build.gradle.kts:118;app-android/build.gradle.kts:261
coil3-core	io.coil-kt.coil3:coil-core	coil3	3.6.2	shared/build.gradle.kts:86;app-android/build.gradle.kts:263
coil3-compose-core	io.coil-kt.coil3:coil-compose-core	coil3	3.6.2	shared/build.gradle.kts:87
coil3-network-core	io.coil-kt.coil3:coil-network-core	coil3	3.6.2	shared/build.gradle.kts:88
ktor-http	io.ktor:ktor-http	ktor	3.5.2	shared/build.gradle.kts:92;app-android/build.gradle.kts:218
ktor-io	io.ktor:ktor-io	ktor	3.5.2	shared/build.gradle.kts:93;app-android/build.gradle.kts:219
ktor-utils	io.ktor:ktor-utils	ktor	3.5.2	shared/build.gradle.kts:94
jetbrains-compose-ui	org.jetbrains.compose.ui:ui	composeMultiplatform	1.12.0	shared/build.gradle.kts:69
jetbrains-compose-ui-graphics	org.jetbrains.compose.ui:ui-graphics	composeMultiplatform	1.12.0	shared/build.gradle.kts:70
jetbrains-compose-ui-text	org.jetbrains.compose.ui:ui-text	composeMultiplatform	1.12.0	shared/build.gradle.kts:71
jetbrains-compose-ui-unit	org.jetbrains.compose.ui:ui-unit	composeMultiplatform	1.12.0	shared/build.gradle.kts:72
jetbrains-compose-ui-geometry	org.jetbrains.compose.ui:ui-geometry	composeMultiplatform	1.12.0	shared/build.gradle.kts:73
jetbrains-compose-animation	org.jetbrains.compose.animation:animation	composeMultiplatform	1.12.0	shared/build.gradle.kts:74
jetbrains-compose-animation-core	org.jetbrains.compose.animation:animation-core	composeMultiplatform	1.12.0	shared/build.gradle.kts:75
jetbrains-compose-runtime-saveable	org.jetbrains.compose.runtime:runtime-saveable	composeMultiplatform	1.12.0	shared/build.gradle.kts:68
androidx-compose-runtime	androidx.compose.runtime:runtime	BOM	androidx-compose-bom	app-android/build.gradle.kts:229;app-wear/build.gradle.kts:102
androidx-compose-ui-text	androidx.compose.ui:ui-text	BOM	androidx-compose-bom	app-android/build.gradle.kts:230;app-wear/build.gradle.kts:105
androidx-compose-ui-unit	androidx.compose.ui:ui-unit	BOM	androidx-compose-bom	app-android/build.gradle.kts:231;app-wear/build.gradle.kts:106
androidx-compose-ui-geometry	androidx.compose.ui:ui-geometry	BOM	androidx-compose-bom	app-android/build.gradle.kts:232
androidx-compose-ui-test	androidx.compose.ui:ui-test	BOM	androidx-compose-bom	app-android/build.gradle.kts:258
kotlin-cocoapods	org.jetbrains.kotlin.native.cocoapods	kotlin	2.4.10	build.gradle.kts:9;shared/build.gradle.kts:9
