alias	module	version_ref	before	after	latest_stable	latest_including_prerelease	status	source
android-gradle-api	com.android.tools.build:gradle-api	agp	9.4.0	9.5.0-alpha04	9.4.0	9.5.0-alpha04	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/com/android/tools/build/gradle-api/maven-metadata.xml
kotlin-gradle-plugin-api	org.jetbrains.kotlin:kotlin-gradle-plugin-api	kotlin	2.4.10	2.4.20	2.4.20	2.4.20	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/kotlin/kotlin-gradle-plugin-api/maven-metadata.xml
asm	org.ow2.asm:asm	asm	9.10.1	9.10.1	9.10.1	9.10.1	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/ow2/asm/asm/maven-metadata.xml
androidx-compose-foundation-guarded	androidx.compose.foundation:foundation-android	composeFoundationGuard	1.12.0	1.13.0-alpha02	1.12.0	1.13.0-alpha02	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/compose/foundation/foundation-android/maven-metadata.xml
androidx-core-ktx	androidx.core:core-ktx	coreKtx	1.19.0	1.19.0	1.19.0	1.19.0	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/core/core-ktx/maven-metadata.xml
junit	junit:junit	junit	4.13.2	4.13.2	4.13.2	4.13.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/junit/junit/maven-metadata.xml
androidx-junit	androidx.test.ext:junit	junitVersion	1.3.0	1.3.0	1.3.0	1.3.0	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/test/ext/junit/maven-metadata.xml
androidx-espresso-core	androidx.test.espresso:espresso-core	espressoCore	3.7.0	3.7.0	3.7.0	3.7.0	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/test/espresso/espresso-core/maven-metadata.xml
androidx-appcompat	androidx.appcompat:appcompat	appcompat	1.8.0	1.8.0	1.8.0	1.8.0	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/appcompat/appcompat/maven-metadata.xml
material	com.google.android.material:material	material	1.14.0	1.14.0	1.14.0	1.14.0	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/com/google/android/material/material/maven-metadata.xml
androidx-activity-compose	androidx.activity:activity-compose	activityCompose	1.13.0	1.14.0-alpha01	1.13.0	1.14.0-alpha01	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/activity/activity-compose/maven-metadata.xml
androidx-compose-bom	androidx.compose:compose-bom-alpha	composeBom	2026.08.00	2026.08.01	2026.08.01	2026.08.01	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/compose/compose-bom-alpha/maven-metadata.xml
androidx-compose-ui	androidx.compose.ui:ui				1.12.0	1.13.0-alpha02	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/ui/ui/maven-metadata.xml
androidx-compose-ui-graphics	androidx.compose.ui:ui-graphics				1.12.0	1.13.0-alpha02	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/ui/ui-graphics/maven-metadata.xml
androidx-compose-ui-tooling	androidx.compose.ui:ui-tooling				1.12.0	1.13.0-alpha02	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/ui/ui-tooling/maven-metadata.xml
androidx-compose-ui-tooling-preview	androidx.compose.ui:ui-tooling-preview				1.12.0	1.13.0-alpha02	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/ui/ui-tooling-preview/maven-metadata.xml
androidx-compose-foundation	androidx.compose.foundation:foundation				1.12.0	1.13.0-alpha02	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/foundation/foundation/maven-metadata.xml
androidx-compose-material3	androidx.compose.material3:material3				1.4.0	1.5.0-alpha27	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/material3/material3/maven-metadata.xml
androidx-compose-material-icons	androidx.compose.material:material-icons-extended				1.7.8	1.7.8	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/material/material-icons-extended/maven-metadata.xml
androidx-compose-ui-test-junit4	androidx.compose.ui:ui-test-junit4				1.12.0	1.13.0-alpha02	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/ui/ui-test-junit4/maven-metadata.xml
androidx-compose-ui-test-manifest	androidx.compose.ui:ui-test-manifest				1.12.0	1.13.0-alpha02	BOM_MANAGED	https://dl.google.com/dl/android/maven2/androidx/compose/ui/ui-test-manifest/maven-metadata.xml
coil-compose	io.coil-kt:coil-compose	coil	2.7.0	2.7.0	2.7.0	2.7.0	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/coil-kt/coil-compose/maven-metadata.xml
coil3-compose	io.coil-kt.coil3:coil-compose	coil3	3.6.2	3.6.2	3.6.2	3.6.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/coil-kt/coil3/coil-compose/maven-metadata.xml
coil3-network-ktor	io.coil-kt.coil3:coil-network-ktor3	coil3	3.6.2	3.6.2	3.6.2	3.6.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/coil-kt/coil3/coil-network-ktor3/maven-metadata.xml
coil3-gif	io.coil-kt.coil3:coil-gif	coil3	3.6.2	3.6.2	3.6.2	3.6.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/coil-kt/coil3/coil-gif/maven-metadata.xml
coil3-video	io.coil-kt.coil3:coil-video	coil3	3.6.2	3.6.2	3.6.2	3.6.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/coil-kt/coil3/coil-video/maven-metadata.xml
ktor-client-core	io.ktor:ktor-client-core	ktor	3.5.2	3.5.2	3.5.2	3.5.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/ktor/ktor-client-core/maven-metadata.xml
ktor-client-darwin	io.ktor:ktor-client-darwin	ktor	3.5.2	3.5.2	3.5.2	3.5.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/ktor/ktor-client-darwin/maven-metadata.xml
ktor-client-mock	io.ktor:ktor-client-mock	ktor	3.5.2	3.5.2	3.5.2	3.5.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/ktor/ktor-client-mock/maven-metadata.xml
ktor-client-okhttp	io.ktor:ktor-client-okhttp	ktor	3.5.2	3.5.2	3.5.2	3.5.2	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/io/ktor/ktor-client-okhttp/maven-metadata.xml
androidx-datastore-preferences	androidx.datastore:datastore-preferences	datastore	1.2.1	1.3.0-alpha10	1.2.1	1.3.0-alpha10	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/datastore/datastore-preferences/maven-metadata.xml
kotlinx-serialization-json	org.jetbrains.kotlinx:kotlinx-serialization-json	kotlinxSerializationJson	1.11.0	1.12.0-RC	1.11.0	1.12.0-RC	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/kotlinx/kotlinx-serialization-json/maven-metadata.xml
kotlinx-coroutines-core	org.jetbrains.kotlinx:kotlinx-coroutines-core	kotlinxCoroutines	1.11.0	1.11.0	1.11.0	1.11.0	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/kotlinx/kotlinx-coroutines-core/maven-metadata.xml
kotlinx-datetime	org.jetbrains.kotlinx:kotlinx-datetime	kotlinxDatetime	0.8.0	0.8.0	0.8.0	0.8.0-0.6.x-compat	LATEST_STANDARD_VARIANT	https://repo.maven.apache.org/maven2/org/jetbrains/kotlinx/kotlinx-datetime/maven-metadata.xml
jetbrains-compose-runtime	org.jetbrains.compose.runtime:runtime	composeMultiplatform	1.12.0	1.12.0	1.12.0	1.12.0	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/compose/runtime/runtime/maven-metadata.xml
jetbrains-compose-foundation	org.jetbrains.compose.foundation:foundation	composeMultiplatform	1.12.0	1.12.0	1.12.0	1.12.0	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/compose/foundation/foundation/maven-metadata.xml
jetbrains-compose-material3	org.jetbrains.compose.material3:material3	composeMultiplatformMaterial3	1.9.0	1.12.0-alpha03	1.9.0	1.12.0-alpha03	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/compose/material3/material3/maven-metadata.xml
jetbrains-compose-material-icons	org.jetbrains.compose.material:material-icons-extended	material-icons-extended	1.7.3	1.7.3	1.7.3	1.7.3	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/compose/material/material-icons-extended/maven-metadata.xml
jetbrains-compose-components-resources	org.jetbrains.compose.components:components-resources	composeMultiplatform	1.12.0	1.12.0	1.12.0	1.12.0	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/compose/components/components-resources/maven-metadata.xml
jetbrains-compose-components-ui-tooling-preview	org.jetbrains.compose.components:components-ui-tooling-preview	composeMultiplatform	1.12.0	1.12.0	1.12.0	1.12.0	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/compose/components/components-ui-tooling-preview/maven-metadata.xml
jetbrains-compose-preview	org.jetbrains.compose.ui:ui-tooling-preview	composeMultiplatform	1.12.0	1.12.0	1.12.0	1.12.0	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/compose/ui/ui-tooling-preview/maven-metadata.xml
jetbrains-compose-ui-tooling	org.jetbrains.compose.ui:ui-tooling	composeMultiplatform	1.12.0	1.12.0	1.12.0	1.12.0	LATEST_PUBLISHED	https://repo.maven.apache.org/maven2/org/jetbrains/compose/ui/ui-tooling/maven-metadata.xml
androidx-media3-exoplayer	androidx.media3:media3-exoplayer	media3	1.11.0	1.11.0	1.11.0	1.11.0	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/media3/media3-exoplayer/maven-metadata.xml
androidx-media3-ui	androidx.media3:media3-ui	media3	1.11.0	1.11.0	1.11.0	1.11.0	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/androidx/media3/media3-ui/maven-metadata.xml
firebase-bom	com.google.firebase:firebase-bom	firebase	34.18.0	34.18.0	34.18.0	34.18.0	LATEST_PUBLISHED	https://dl.google.com/dl/android/maven2/com/google/firebase/firebase-bom/maven-metadata.xml
firebase-analytics	com.google.firebase:firebase-analytics				23.2.0	23.2.0	BOM_MANAGED	https://dl.google.com/dl/android/maven2/com/google/firebase/firebase-analytics/maven-metadata.xml
firebase-crashlytics	com.google.firebase:firebase-crashlytics				20.1.0	20.1.0	BOM_MANAGED	https://dl.google.com/dl/android/maven2/com/google/firebase/firebase-crashlytics/maven-metadata.xml
firebase-performance	com.google.firebase:firebase-perf				22.0.6	22.0.6	BOM_MANAGED	https://dl.google.com/dl/android/maven2/com/google/firebase/firebase-perf/maven-metadata.xml
