project	configuration	unresolved	artifact_failures	androidx.compose.foundation:foundation-android	androidx.compose.ui:ui-android	androidx.compose.material3:material3-android	androidx.lifecycle:lifecycle-common	org.jetbrains.kotlin:kotlin-stdlib	org.jetbrains.kotlinx:kotlinx-serialization-core	com.android.tools.build:gradle-api
:app-android	debugCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	debugAndroidTestCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	debugUnitTestCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	releaseCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	benchmarkReleaseCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	benchmarkReleaseRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	debugAndroidTestRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	debugRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	debugUnitTestRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	nonMinifiedReleaseCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	nonMinifiedReleaseRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-android	releaseRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-wear	debugCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-wear	releaseCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-wear	debugAndroidTestCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	-	2.9.4	2.4.20	1.12.0-RC	-
:app-wear	debugAndroidTestRuntimeClasspath	0	0	-	-	-	-	-	-	-
:app-wear	debugRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-wear	debugUnitTestCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-wear	debugUnitTestRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:app-wear	releaseRuntimeClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:baselineprofile	nonMinifiedReleaseCompileClasspath	0	0	-	-	-	2.3.1	2.4.20	-	-
:baselineprofile	benchmarkReleaseCompileClasspath	0	0	-	-	-	2.3.1	2.4.20	-	-
:baselineprofile	benchmarkReleaseRuntimeClasspath	0	0	-	-	-	2.3.1	2.4.20	-	-
:baselineprofile	nonMinifiedReleaseRuntimeClasspath	0	0	-	-	-	2.3.1	2.4.20	-	-
:shared	androidCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:shared	androidHostTestCompileClasspath	0	0	1.13.0-alpha02	1.13.0-alpha02	1.5.0-alpha27	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:shared	jvmCompileClasspath	0	0	-	-	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:shared	jvmTestCompileClasspath	0	0	-	-	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:shared	commonMainResolvableDependenciesMetadata	0	0	-	-	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:shared	commonTestResolvableDependenciesMetadata	0	0	-	-	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
:shared	iosArm64CompileKlibraries	0	0	-	-	-	2.12.0-alpha02	2.4.20	1.12.0-RC	-
