id	capability	modes	platforms	coverage	evidence
startup-profile	初回起動・復元・モード切替・起動画面	BOTH	BOTH	AUTOMATED	shared/src/commonTest/kotlin/compat/ExperienceProfileSessionTest.kt;app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt;iosApp/iosAppUITests/IosAppUITests.swift
board-management	板追加・削除・ピン・並べ替え・永続化	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/board/BoardManagementScreenTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
catalog	取得・再取得・並べ替え・検索・NG・監視・表示切替	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/board/CatalogScreenSupportTest.kt;shared/src/commonTest/kotlin/ui/compat/CompatCatalogFetchSettingsTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
thread-loading	新規スレ初回取得・更新・失敗・オフライン復元	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/board/ThreadScreenLoadLogicTest.kt;shared/src/commonTest/kotlin/ui/compat/CompatThreadFetchTest.kt;iosApp/iosAppUITests/IosAppUITests.swift;PRIVATE_DEVICE_EVIDENCE
thread-history	履歴・タブ・レス差分・スクロール位置・重複防止	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/state/AppStateStoreTest.kt;shared/src/commonTest/kotlin/compat/CompatibilityCatalogDiffTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
posting	スレ立て・返信・添付・手書き・そうだね・DEL・本人削除・Cookie復旧	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/network/HttpBoardApiTest.kt;shared/src/commonTest/kotlin/repo/DefaultBoardRepositoryTest.kt;shared/src/commonTest/kotlin/ui/board/PostingFailureSupportTest.kt;shared/src/commonTest/kotlin/ui/compat/CompatDrawingRenderSupportTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
media	画像・GIF・WebP・APNG・動画URL判定と取得制限	BOTH	BOTH	AUTOMATED	shared/src/commonTest/kotlin/media/FutabaMediaSupportTest.kt;shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt;shared/src/commonTest/kotlin/ui/board/ThreadMediaSupportTest.kt
gallery-viewer	添付一覧・Viewer・前後移動・拡大縮小・動画再生	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/board/ThreadAttachmentGallerySupportTest.kt;shared/src/commonTest/kotlin/compat/CompatViewerGestureSupportTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatViewerGestureInstrumentedTest.kt;iosApp/iosAppUITests/IosAppUITests.swift;PRIVATE_DEVICE_EVIDENCE
saving	スレ保存・単体メディア保存・自動保存・削除・復元	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/service/ThreadSaveServiceTest.kt;shared/src/commonTest/kotlin/service/SingleMediaSaveServiceTest.kt;shared/src/commonTest/kotlin/repository/SavedThreadRoundTripTest.kt;shared/src/iosTest/kotlin/util/IosFileSystemSaveLocationTest.kt;PRIVATE_DEVICE_EVIDENCE
tts	本文整形・開始・停止・一時停止・連続更新・URL除外	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/audio/TextSpeakerTimeoutTest.kt;shared/src/commonTest/kotlin/ui/board/ThreadScreenLoadLogicTest.kt;shared/src/commonTest/kotlin/ui/compat/CompatReadAloudBatchSupportTest.kt;PRIVATE_DEVICE_EVIDENCE
theme	全テーマ・明暗分岐・画面間の色継承・システムバー	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/theme/FutachaThemeContractTest.kt;shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt;iosApp/iosAppUITests/IosAppUITests.swift;PRIVATE_DEVICE_EVIDENCE
settings	全設定値・即時反映・永続化・旧版復元・バックアップ	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/state/AppStateSettingsSupportTest.kt;shared/src/commonTest/kotlin/compat/CompatibilitySettingsBackupTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
background-refresh	履歴・監視更新とAndroid WorkManager／iOS BGTask	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/background/BackgroundRefreshSupportTest.kt;app-android/src/test/java/com/valoser/futacha/HistoryRefreshWorkerSupportTest.kt;shared/src/iosTest/kotlin/compat/IosExperienceProfileStoreTest.kt;PRIVATE_DEVICE_EVIDENCE
network-parser	URL正規化・Cookie・再試行・サイズ上限・HTML解析	BOTH	BOTH	AUTOMATED	shared/src/commonTest/kotlin/network/HttpBoardApiTest.kt;shared/src/commonTest/kotlin/network/HttpRetrySupportTest.kt;shared/src/commonTest/kotlin/parser/CatalogHtmlParserCoreTest.kt;shared/src/commonTest/kotlin/parser/ThreadHtmlParserCoreTest.kt;shared/src/commonTest/kotlin/parser/HtmlEntityDecoderTest.kt
platform-navigation	Back・ドロワー・Deep Link・外部アプリ・モード切替	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt;app-android/src/androidTest/java/com/valoser/futacha/MainActivityDeepLinkLifecycleInstrumentedTest.kt;iosApp/iosAppUITests/IosAppUITests.swift;PRIVATE_DEVICE_EVIDENCE
accessibility-layout	画面サイズ・回転・システムInsets・操作可能領域・読み上げラベル	BOTH	BOTH	DEVICE	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;iosApp/iosAppUITests/IosAppUITests.swift;PRIVATE_DEVICE_EVIDENCE
cookies	永続Cookie・一覧・削除・投稿時再取得	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/network/PersistentCookieStorageTest.kt;shared/src/commonTest/kotlin/repository/CookieRepositoryTest.kt;shared/src/commonTest/kotlin/ui/board/CookieManagementSupportTest.kt;PRIVATE_DEVICE_EVIDENCE
archive	履歴入出力・過去ログ・消滅判定・報告キュー	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/network/ArchiveSearchTest.kt;shared/src/commonTest/kotlin/repository/HistoryArchiveImportSupportTest.kt;shared/src/commonTest/kotlin/compat/ArchiveReportProtocolTest.kt;shared/src/iosTest/kotlin/compat/IosExperienceProfileStoreTest.kt
ai-actions	AIコマンド・Deep Link・確認・要約・モデレーション	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ai/FutachaAiCommandTest.kt;shared/src/commonTest/kotlin/ui/FutachaAiCommandRouterTest.kt;app-android/src/test/java/com/valoser/futacha/PendingPlatformDeepLinksTest.kt;PRIVATE_DEVICE_EVIDENCE
app-lock	ロック・パスワード・復帰・失敗回数	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/state/AppLockPasswordSupportTest.kt;shared/src/commonTest/kotlin/ui/FutachaAppLockSupportTest.kt;PRIVATE_DEVICE_EVIDENCE
billing	任意支援の商品取得・購入・キャンセル・終了	BOTH	BOTH	DEVICE	shared/src/commonTest/kotlin/billing/SupportPurchaseTest.kt;PRIVATE_DEVICE_EVIDENCE
watch	Watch同期・通知・読み上げ状態・Phone連携	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/watch/WatchCommandProtocolTest.kt;app-android/src/test/java/com/valoser/futacha/WatchSyncManagerSupportTest.kt;PRIVATE_DEVICE_EVIDENCE
privacy-safety	プライバシーフィルタ・通報・ブロック・EULA	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ai/PostModerationSupportTest.kt;iosApp/iosAppUITests/IosAppUITests.swift;PRIVATE_DEVICE_EVIDENCE
telemetry	Analytics・Crash・Performanceの境界と無効時安全性	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/analytics/AnalyticsContextTest.kt;shared/src/commonTest/kotlin/analytics/CrashReporterSupportTest.kt;shared/src/commonTest/kotlin/analytics/PerformanceTrackerTest.kt;PRIVATE_DEVICE_EVIDENCE
thread-interaction	検索・検索結果移動・引用プレビュー・引用返信・絞り込み・ソート・投稿アクション	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/board/ThreadScreenLoadLogicTest.kt;shared/src/commonTest/kotlin/ui/board/ThreadSearchScrollSupportTest.kt;shared/src/commonTest/kotlin/ui/board/ThreadScreenSaveActionLogicTest.kt;shared/src/commonTest/kotlin/ui/board/ThreadScreenInteractionLogicTest.kt;PRIVATE_DEVICE_EVIDENCE
reply-drafts	スレ立て下書き・返信下書き・画像動画添付・送信後クリア	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/board/CatalogScreenSupportTest.kt;shared/src/commonTest/kotlin/ui/board/ThreadScreenRuntimeLogicTest.kt;iosApp/iosAppUITests/IosAppUITests.swift;PRIVATE_DEVICE_EVIDENCE
saved-threads	一覧・状態表示・オフライン閲覧・個別削除・一括削除・保存容量	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/board/SavedThreadsScreenTest.kt;shared/src/commonTest/kotlin/model/SavedThreadExtensionsTest.kt;shared/src/commonTest/kotlin/repository/SavedThreadRepositoryTest.kt;app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt;iosApp/iosAppUITests/IosAppUITests.swift
storage-integration	保存先・ディレクトリ選択・優先ファイラー・権限拒否・パストラバーサル防止	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/board/GlobalSettingsSupportTest.kt;shared/src/commonTest/kotlin/ui/board/FileManagerPickerSupportTest.kt;shared/src/commonTest/kotlin/repository/HistoryArchiveImportSupportTest.kt;shared/src/iosTest/kotlin/util/IosFileSystemSaveLocationTest.kt;app-android/src/androidTest/java/com/valoser/futacha/AndroidFileSystemInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
updates-notifications	更新確認・バージョン比較・監視通知・通知権限・タップ復帰	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/version/VersionCheckerTest.kt;shared/src/commonTest/kotlin/service/WatchAlertNotificationLedgerTest.kt;app-android/src/test/java/com/valoser/futacha/WatchAlertPermissionDecisionTest.kt;app-android/src/androidTest/java/com/valoser/futacha/WatchAlertNotificationContractInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
