component	kind	reference_apks	area	status	evidence
AppBackgroundSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#backgroundMatchesReferenceRowsWarningsAndRawPolicyPersistence
AppBackgroundSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#backgroundMatchesReferenceRowsWarningsAndRawPolicyPersistence
AppControlSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#controlSettingsMatchReferenceRowsPersistRawValuesAndIsolateExtensions
AppControlSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#controlSettingsMatchReferenceRowsPersistRawValuesAndIsolateExtensions
AppDesignSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#designSettingsPersistReferenceRawValuesAndShowExactRedrawAndFontDialogs
AppDesignSettingCustomFontMenuDialogFragment	DIALOG	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#designSettingsPersistReferenceRawValuesAndShowExactRedrawAndFontDialogs;iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiDesignSettingsExposeReferenceChoicesNoticeAndFontDialog
AppDesignSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#designSettingsPersistReferenceRawValuesAndShowExactRedrawAndFontDialogs
AppNetworkSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#networkMatchesReferenceRowsReadOnlyStatusWarningAndParallelRawValue
AppNetworkSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#networkMatchesReferenceRowsReadOnlyStatusWarningAndParallelRawValue
AppSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
AppSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
AppStorageSettingActivity	ACTIVITY	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#storageMatchesReferenceRowsDialogsRawValuesAndSeparateCacheUsage
AppStorageSettingDownloadMenuDialogFragment	DIALOG	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#storageMatchesReferenceRowsDialogsRawValuesAndSeparateCacheUsage;iosApp/iosAppUITests/IosAppUITests.swift#testToshiakiStorageMatchesReferenceRowsDialogsRawPersistenceAndCacheUsage
AppStorageSettingFragment	FRAGMENT	BOTH	settings	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#storageMatchesReferenceRowsDialogsRawValuesAndSeparateCacheUsage
Ascii2dRegisterDialogFragment	DIALOG	BOTH	media-search	MATCH	shared/src/commonTest/kotlin/ui/compat/CompatImageSearchTest.kt#endpointValidationAllowsAscii2dOnly;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#ascii2dAndImageCompressionDialogsMatchBothReferenceApks
BoardAddDialogFragment	DIALOG	BOTH	board	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
BoardContextDialogFragment	DIALOG	BOTH	board	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
BoardDeleteDialogFragment	DIALOG	BOTH	board	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
BoardEditDialogFragment	DIALOG	BOTH	board	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
