layout	reference_apks	old_variants	final_variants	old_sha256	final_sha256	area	audit_status	evidence
activity_app_background_setting	BOTH	1	1	a172373af58c0016d215e68d0de829511ace32f876e22e631160804a4bc35225	a172373af58c0016d215e68d0de829511ace32f876e22e631160804a4bc35225	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_app_control_setting	BOTH	1	1	cbde7d2b678313dac34a6d2f52ab91b00fd94d6a7b48f4540c70f2b1f53fd656	cbde7d2b678313dac34a6d2f52ab91b00fd94d6a7b48f4540c70f2b1f53fd656	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_app_design_setting	BOTH	1	1	e878c77e0c7d3ebc0b9a362198358b3197c3914f9b6bb00ac0640dc2af2d2e93	e878c77e0c7d3ebc0b9a362198358b3197c3914f9b6bb00ac0640dc2af2d2e93	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_app_network_setting	BOTH	1	1	fb795cecd2b7241a8bac2eb1220149f3fb7f0003f5b2dcdbef9bdb06c4291c3a	fb795cecd2b7241a8bac2eb1220149f3fb7f0003f5b2dcdbef9bdb06c4291c3a	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_app_setting	BOTH	1	1	1f2859fb8269128e55244a71c8fde9d3f1fe3e404cd32182c01102f8043fc960	1f2859fb8269128e55244a71c8fde9d3f1fe3e404cd32182c01102f8043fc960	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_app_storage_setting	BOTH	1	1	93bb1de6fb0c997e0875480b94def853eae66841fa67e1e45342b7d0288ddddf	93bb1de6fb0c997e0875480b94def853eae66841fa67e1e45342b7d0288ddddf	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_catalog_above	BOTH	1	1	a03dc1f06fea9130369120c1d2be3323d9c749a235a4dd05c104aa70769c0a5e	e5dd732c27136652dd1e05efe0869b097540bed4e754835f8c107739ac640a06	CATALOG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDisplaySwitchShowsCenteredLoadingIndicatorUntilNewLayoutIsReady
activity_catalog_dropped	FINAL_ONLY	0	1	-	6a626de7dbfec5c8149a0af9110a3b9a493f605c090185d01a84e77fcb2aac20	CATALOG_DROPPED	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDroppedCommandShowsTrackedThreadAndKeepsCurrentCatalog
activity_catalog_extract	BOTH	1	1	9a426080d99a7f1fbbaee1ca584a23fcc3dc2c94466b545564599519f1b0f269	9a426080d99a7f1fbbaee1ca584a23fcc3dc2c94466b545564599519f1b0f269	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
activity_catalog_ignore	BOTH	1	1	a89c297f0e6d386f7e9136b0810457fffbb1f652525803fa7e5b11c46a2481bb	a89c297f0e6d386f7e9136b0810457fffbb1f652525803fa7e5b11c46a2481bb	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
activity_catalog_over	BOTH	1	1	cc5ef504553ebe7ba39d9cb1bcacaf5d6a92ca948fb1f448fefc07d54b3a85aa	bc340069d4a024af254f04fd21024f1150328889581247a7504a0ae338c43fe0	CATALOG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogDisplaySwitchShowsCenteredLoadingIndicatorUntilNewLayoutIsReady
activity_catalog_refuse	BOTH	1	1	991971c612e01b3896cb701fb688bbd0bf70f17760b441a137d25d24d43089c0	991971c612e01b3896cb701fb688bbd0bf70f17760b441a137d25d24d43089c0	CATALOG_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefuseReferenceScreenShowsTitleUrlAndConfirmsEveryDeletion
activity_catalog_setting	BOTH	1	1	c097f8a2f9fb752b715dfbc0deeb05e787adc57f8beab23a5ab6ff6bf459d9aa	c097f8a2f9fb752b715dfbc0deeb05e787adc57f8beab23a5ab6ff6bf459d9aa	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_catalog_toolbar	BOTH	1	1	d81d04c9824b2d205eb826ed61a08aa37a6092412f943752a9b78eb6b3092072	d81d04c9824b2d205eb826ed61a08aa37a6092412f943752a9b78eb6b3092072	CATALOG_TOOLBAR	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
activity_custom_font	FINAL_ONLY	1	1	c5c7b9322a0744c349a153a6362ee35932032828e1ff3912530e0deed840550a	83b0db16abe9c40cd08c9a6605f6fef397ccffb0f95123bb6f0cfaf9e88d4211	SETTINGS	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#rootSettingsKeepReferenceRowsAndPutCurrentFeaturesInTheExtensionSection
activity_download_dir	FINAL_ONLY	1	1	87d0853e97d68f0a7af753de775ce65a68e5d0ae52868edd0096d22c8c213d08	543a0ac4878b19e47c886ebd280a731d724f31a621b4ad9d04f4e86109bb5314	STORAGE	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#storageMatchesReferenceRowsDialogsRawValuesAndSeparateCacheUsage
activity_gallery	BOTH	1	1	eabb253cb79b736351bab2d129acc351e0c42e31df814bd63ba6340454bf7cfb	eabb253cb79b736351bab2d129acc351e0c42e31df814bd63ba6340454bf7cfb	GALLERY	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
activity_help	BOTH	1	1	407ee4eb331aa040bae733fa6701d7e83c7d1f6841d8988caff47f79f8b40450	407ee4eb331aa040bae733fa6701d7e83c7d1f6841d8988caff47f79f8b40450	INFO	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
activity_image_ng	FINAL_ONLY	0	1	-	467e0723c7fbe027354425e9e254b064f375d9bcb87d745a7d055664c7991cc7	IMAGE_NG	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#imageNgManagerUnifiesUrlAndPhashRowsWithReferenceEditorThresholdAndClear
activity_license	BOTH	1	1	5b8393d38fe0b47398ba100e5c574b9edb2eee1dc4892baf070c47842cd97f94	5b8393d38fe0b47398ba100e5c574b9edb2eee1dc4892baf070c47842cd97f94	INFO	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
activity_main	BOTH	1	1	0a68d05bb1f94f6fff3024e2a0dc7c36c821463e76115ecfb71f38015188f166	c7d289cbd9d51702d2bcdc0e2dc07bc54df1b9a79c2377ba25ee2720e88bae6a	BOARD	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
