menu	reference_apks	old_items	final_items	status	evidence
app_setting_menu.xml	BOTH	3	3	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
board_menu.xml	BOTH	6	6	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#mainBoardDialogsMatchReferenceAndPersistAddEditDelete
catalog_extract_menu.xml	BOTH	2	3	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogExtractReferenceScreenUsesDirectActivityFlowAndExactDialogs
catalog_ignore_menu.xml	BOTH	2	3	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogIgnoreReferenceScreenUsesAliasesScopeIconsAndExactEditors
catalog_menu.xml	BOTH	5	5	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRendersPersistentCacheWithCenteredLoadingWhileNetworkIsBlocked
catalog_refuse_menu.xml	BOTH	1	2	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogRefuseReferenceScreenShowsTitleUrlAndConfirmsEveryDeletion
catalog_toolbar.xml	BOTH	6	6	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#toolbarMastersAndReconciliationPreserveLegacyCountsDefaultsAndUserOrder;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
catalog_toolbar_overflow.xml	BOTH	15	21	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityOtherMenusTest.kt#catalogRoot_hasExactTargetOrderAndOnlyDefersCacheBackend;shared/src/commonTest/kotlin/compat/CompatibilityOtherMenusTest.kt#catalogNgSubmenu_flipsAllDynamicLabels
catalog_toolbar_sort.xml	BOTH	6	6	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#catalogReplyPriorityMatchesReferencePartitionAndPersistsPerBoardFlags
change_log_menu.xml	BOTH	2	2	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
custom_font_menu.xml	BOTH	1	1	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#designSettingsPersistReferenceRawValuesAndShowExactRedrawAndFontDialogs
download_dir_menu.xml	BOTH	1	1	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#storageMatchesReferenceRowsDialogsRawValuesAndSeparateCacheUsage
gallery_menu.xml	BOTH	4	4	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
help_menu.xml	BOTH	2	2	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#informationScreensUseFutachaHistoryAndCurrentLicenses
image_ng_menu.xml	FINAL_ONLY	0	3	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#imageNgManagerUnifiesUrlAndPhashRowsWithReferenceEditorThresholdAndClear
post_build_menu.xml	BOTH	2	2	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
post_build_toolbar.xml	BOTH	3	3	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
post_drawing_menu.xml	BOTH	6	6	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postDrawingDialogsBrushesAndHelpMatchBothReferenceApks
post_menu.xml	BOTH	2	2	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#postValidationMessagesMatchBothReferenceApks
post_toolbar_overflow.xml	BOTH	9	9	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#toolbarMastersAndReconciliationPreserveLegacyCountsDefaultsAndUserOrder;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
thread_ignore_menu.xml	BOTH	2	3	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
thread_menu.xml	BOTH	5	5	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadDisplayOptionsMatchReferenceActivityPersistRawValuesAndReturnDirectly
thread_refuse_menu.xml	BOTH	2	3	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadReferenceNgManagersMatchDedicatedActivitiesScopesEditorsAndGlobalClear
thread_toolbar.xml	BOTH	6	9	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#toolbarMastersAndReconciliationPreserveLegacyCountsDefaultsAndUserOrder;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
thread_toolbar_extract.xml	BOTH	7	8	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityOtherMenusTest.kt#threadNestedMenus_matchSaveNgUrlAndExtractionContracts;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadExtractionAndWebSearchDialogsMatchBothReferenceApks
thread_toolbar_overflow.xml	BOTH	27	41	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityOtherMenusTest.kt#threadNestedMenus_matchSaveNgUrlAndExtractionContracts;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#threadPostAndScrollDialogsMatchReferenceLabelsAndConfirmationFlow
viewer_menu.xml	BOTH	4	4	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
viewer_toolbar.xml	BOTH	6	6	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt#toolbarMastersAndReconciliationPreserveLegacyCountsDefaultsAndUserOrder;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#allReferenceToolbarEditorsUseTwoBottomPreviewsAndPersistImmediately
viewer_toolbar_overflow.xml	BOTH	11	12	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#galleryMatchesApkSquareGridSaveModeAndOverflowCommands
