matrix_id	mode	platform	target	navigation	required_scenarios
android-futacha-api26	FUTACHA	ANDROID	EMULATOR_API_26	THREE_BUTTON	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-compat-api26	TOSHIAKI_COMPAT	ANDROID	EMULATOR_API_26	THREE_BUTTON	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-futacha-api29	FUTACHA	ANDROID	EMULATOR_API_29	THREE_BUTTON	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-compat-api29	TOSHIAKI_COMPAT	ANDROID	EMULATOR_API_29	THREE_BUTTON	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-futacha-api32	FUTACHA	ANDROID	EMULATOR_API_32	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-compat-api32	TOSHIAKI_COMPAT	ANDROID	EMULATOR_API_32	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-futacha-api33	FUTACHA	ANDROID	EMULATOR_API_33	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-compat-api33	TOSHIAKI_COMPAT	ANDROID	EMULATOR_API_33	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-futacha-latest	FUTACHA	ANDROID	EMULATOR_LATEST	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-compat-latest	TOSHIAKI_COMPAT	ANDROID	EMULATOR_LATEST	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
android-futacha-physical	FUTACHA	ANDROID	PHYSICAL_LATEST	BOTH	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA,REAL_NETWORK,PLATFORM_SERVICES
android-compat-physical	TOSHIAKI_COMPAT	ANDROID	PHYSICAL_LATEST	BOTH	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA,REAL_NETWORK,PLATFORM_SERVICES
ios-futacha-small	FUTACHA	IOS	SIMULATOR_SMALL_LATEST	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
ios-compat-small	TOSHIAKI_COMPAT	IOS	SIMULATOR_SMALL_LATEST	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
ios-futacha-standard	FUTACHA	IOS	SIMULATOR_STANDARD_LATEST	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
ios-compat-standard	TOSHIAKI_COMPAT	IOS	SIMULATOR_STANDARD_LATEST	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA
ios-futacha-physical	FUTACHA	IOS	PHYSICAL_LATEST	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA,REAL_NETWORK,PLATFORM_SERVICES
ios-compat-physical	TOSHIAKI_COMPAT	IOS	PHYSICAL_LATEST	GESTURE	COMMON,CLOSED_ISSUES,LAYOUT,MEDIA,REAL_NETWORK,PLATFORM_SERVICES
