source	line	component	value	api_value_type	field	updates_and_guards	verification
shared/src/commonMain/kotlin/ui/FutachaAppLockScreen.kt	143	OutlinedTextField	inputState.value	TextFieldValue	ロック解除	失敗時クリア。入力欄ロック状態・PasswordVisualTransformationあり	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/BoardManagementComponents.kt	137	OutlinedTextField	nameInputState.value	TextFieldValue	板追加・名前	文字数制限・追加成功時クリア	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/BoardManagementComponents.kt	157	OutlinedTextField	urlInputState.value	TextFieldValue	板追加・URL	文字数制限・追加成功時クリア	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/CatalogChromeComponents.kt	270	TextField	queryInputState.value	TextFieldValue	カタログ検索	親のqueryとStableTextInputState同期。検索解除時クリア	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/CatalogSearchDialogComponents.kt	229	OutlinedTextField	queryInputState.value	TextFieldValue	過去スレ検索	rememberSaveable(initialQuery)。親の初期値変更で再初期化	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/CatalogSettingsDialogComponents.kt	251	OutlinedTextField	input	TextFieldValue	監視ワード共通入力部品	全体用・板別用の2呼出し。追加後クリア	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/GlobalSettingsComponents.kt	1054	OutlinedTextField	passwordInputState.value	TextFieldValue	ロック設定・パスワード	文字数制限・有効状態変更時初期化・完了時クリア・マスク	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/GlobalSettingsComponents.kt	1074	OutlinedTextField	confirmationInputState.value	TextFieldValue	ロック設定・確認	文字数制限・有効状態変更時初期化・完了時クリア・マスク	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/GlobalSettingsStorageComponents.kt	186	OutlinedTextField	manualSaveInputState.value	TextFieldValue	手動保存先	外部保存先変更で再初期化。既定値ボタン・整形による非空置換あり	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/HistoryFilterComponents.kt	132	OutlinedTextField	settings.titleQuery	String	履歴フィルター・タイトル	親settings.titleQueryをcopyして更新	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/NgManagementComponents.kt	192	OutlinedTextField	inputState.value	TextFieldValue	通常NG入力	section/initialInput変更で再設定。追加・クリアボタンで空文字	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/ThreadFormComponents.kt	245	TextField	commentInputState.value	TextFieldValue	通常投稿・本文	親状態同期。本文クリア。ThreadScreenのAI DraftReplyでも外部置換	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/ThreadFormComponents.kt	295	TextField	nameInputState.value	TextFieldValue	通常投稿・名前	親状態同期。AI DraftReplyでも外部置換	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/ThreadFormComponents.kt	310	TextField	emailInputState.value	TextFieldValue	通常投稿・メール	親状態同期。プリセット置換。AI DraftReplyでも外部置換	静的調査（個別画面の実機再現は未検証）
shared/src/commonMain/kotlin/ui/board/ThreadFormComponents.kt	344	TextField	subjectInputState.value	TextFieldValue	通常投稿・題名	親状態同期。AI DraftReplyでも外部置換	静的調査（個別画面の実機再現は未検証）
